Table 4. 9: Distribution of establishments by institutional sector and sex of manager,,,
,,,
Institutional sector, Sex of manager,,
,Total,Male,Female
Private sector,258261,154673,103588
Cooperative,2496,1804,692
Public sector,3698,2582,1116
Public Private Partnership,2047,1437,610
NGO (Rwanda),2017,1700,317
NGO(International),656,464,192
Total,269175,162660,106515
