Table 4. 5: Distribution of business-oriented establishments which started operations in Rwanda before 2023 by institution sector and level of annual turnover in 2023,,,,,,,,
,,,,,,,,
Institution sector,Annual turnover in 2023,,,,,,,
,Total,Less than 300.000,300.000 - <12.000.000,12 million - <20 million,20 million - < 50 million,50 million - < 400 million,400 million - < 1billion,Above 1 billion
Private sector,253021,103193,137307,6739,2767,1895,618,502
Cooperative,2286,318,1229,219,156,270,66,28
Public sector,915,282,574,9,13,19,6,12
Public Private Partnership,333,60,220,16,9,10,5,13
NGO (Rwanda),4,2,2,0,0,0,0,0
Total,256559,103855,139332,6983,2945,2194,695,555
