Table 4. 26B: Distribution of enterprises by size and age of manager,,,,,
,,,,,
Age of manager,Size based on number of workers,,,,
,Total,Micro,Small,Medium ,Large
,,(1-3),(4-30),(31-100),(100+)
15 and below,20,20,                    -   ,                               -   ,                     -   
16-30,83747,81101,2562,76,8
31 +,177650,160058,14150,2987,455
Total,261417,241179,16712,3063,463
