Table 4.40: Employment by Nationality and institutional sector,,,
,,,
Institutional sector,Nationality,,
,Total,Rwandan,Foreigners
Private sector,606004,597206,8798
Cooperative,75667,75337,330
Public sector,143069,142444,625
Public Private Partnership,67049,66633,416
NGO (Rwanda),26779,26218,561
NGO(International),9171,8005,1166
Total,927739,915843,11896
