Table 4. 41: Number of Employees by sex and by institutional sector,,,
,,,
Institutional sector,Sex,,
,Both sexes,Male,Female
Private sector,606005,357726,248279
Cooperative,75667,42077,33590
Public sector,143069,67278,75791
Public Private Partnership,67048,35212,31836
NGO (Rwanda),26779,15887,10892
NGO(International),9171,4990,4181
Total,927739,523170,404569
