Table 3. 4: Distribution of enterprises into formal and informal by size,,,,,,
,,,,,,
Size,Count,,,Percentage,,
,Total,Formal ,Informal,Total,Formal ,Informal
Micro(1-3),241179,19060,222119,92.2,60,96.7
Small(4-30),16730,9387,7343,6.4,29.5,3.2
Medium(31-100),3103,2849,254,1.2,9,0.1
Large(100+),537,489,48,0.2,1.5,0
Total,261549,31785,229764,100,100,100
