Table 4.31: Distribution of enterprises by size and establishment type,,,
,,,
Size,Establishment type,,
,Total,Head office,Single unit establishment
Micro (1-3),241179,726,240453
Small (4-30),16730,1160,15570
Medium (31-100),3103,293,2810
Large (100+),537,122,415
Total,261549,2301,259248
