Table 3. 13: Distribution of formal and informal enterprises in private and public partnership by employed capital,,,,,,
,,,,,,
Employed capital,Count,,,Percentage,,
,Total,Formal,Informal,Total,Formal,Informal
Less than 300.000,150183,5484,144699,58.53125267941353,19.937468188758817,63.165269774751174
300.000 - <12.000.000,95077,14909,80168,37.05463275470992,54.2027194066749,34.9956347127641
12 million - <20 million,5985,2915,3070,2.3325512693599806,10.597687777212245,1.3401431814213376
20 million - < 50 million,2509,1722,787,0.9778397886088875,6.260452264960373,0.3435481054653396
50 million - < 400 mi,1804,1520,284,0.7030781102632255,5.526067039918563,0.12397415749956348
400 million - < 1billion,573,524,49,0.2233169385703039,1.905038900603505,0.0213899074559106
Above 1 billion,455,432,23,0.17732845907415057,1.5705664218715918,0.010040160642570281
Total,256586,27506,229080,100,100,100
