"Table 4. 21: Distribution of business oriented enterprises, which started before 2016 by size and annual turnover category",,,,,,,,
,,,,,,,,
Size,Annual turnover,,,,,,,
,Total,Less than 300.000,300.000 - <12.000.000,12 million - <20 million,20 million - < 50 million,50 million - < 400 million,400 million - < 1billion,Above 1 billion
Micro(1-3),240016,102159,130185,4993,1700,805,123,51
Small(4-30),13876,1276,7997,1820,1088,1104,369,222
Medium(31-100),1031,45,288,122,108,203,137,128
Large(100+),356,17,52,23,27,53,55,129
Total,255279,103497,138522,6958,2923,2165,684,530
