Table 4. 16: Distribution of enterprises by size and location areas,,,
,,,
Establishment size,Urban/rural areas,,
,Total,Urban,Rural
Micro(1-3),243595,119276,124319
Small(4-30),15629,12247,3382
Medium(31-100),1156,823,333
Large(100+),395,246,149
Total,260775,132592,128183
