Table 4.27: Distribution of sole proprietor enterprises by sex of owner and size,,,
,,,
Size,Sex of owner,,
,Total,Male,Female
Micro(1-3),226789,134764,92025
Small(4-30),10220,6953,3267
Medium(31-100),379,299,80
Large(100+),69,59,10
Total,237457,142075,95382
