Table 4. 13: Distribution of establishments by institutional sector and establishment type,,,,,
,,,,,
Institutional sector,Establishment type,,,,
,Total,Head office,Single unit establishment,Branch,Sub branch
Private sector,258280,1571,251445,3524,1740
Cooperative,2496,180,2106,154,56
Public sector,3830,160,2916,525,229
Public Private Partnership,2047,97,1656,196,98
NGO (Rwanda),2017,248,871,700,198
NGO(International),656,45,254,206,151
Total,269326,2301,259248,5305,2472
