Table 4. 15: Distribution of business –oriented establishments which started operation in or before 2016 by legal status and annual turnover,,,,,,,,
,,,,,,,,
Legal status, Annual total turnover in 2023,,,,,,,
,Total,Less than 300.000,300.000 - <12.000.000,12 million - <20 million,20 million - < 50 million,50 million - < 400 million,400 million - < 1billion,Above 1 billion
Sole proprietorship,237234,98153,129244,5859,2257,1269,306,146
Limited by shares,5856,546,2662,753,498,716,318,363
Limited by guarantee,217,46,100,15,22,18,13,3
Limited by shares and by guarantee,111,17,38,13,8,23,9,3
Unlimited,646,184,288,55,44,51,14,10
,11243,4565,6204,263,94,88,24,5
Total,255307,103511,138536,6958,2923,2165,684,530
