Table 4. 25: Distribution of enterprises by size and by sex of manager,,,
,,,
Size, Sex  of manager ,,
,Total,Male,Female
Micro(1-3),241160,142672,98488
Small(4-30),16712,11646,5066
Medium(31-100),3063,2359,704
Large(100+),463,405,58
Total,261398,157082,104316
